tag_id,type,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
18LX,simulation,15,16,6.875,-1.375,7.875,-2.125,1,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,138.73538683000172,323.40569584933064,-16.007693400815363,21.558854608889305,5.949460849146688,13.358194779672932
18LX,simulation,15,16,8.625,-3.125,9.625,-2.375,2,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,138.5173113415939,36.461528571499684,15.932607011086608,21.561946284442737,-0.2799787614883915,15.260752554370514
18LX,simulation,15,16,10.375,-2.125,9.125,-2.125,3,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,139.149363491592,180,-4.947352914291378e-15,-26.932134869340384,-1.9399894091698429,13.865717539879585
18LX,simulation,15,16,9.125,-2.625,9.625,-2.125,4,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,78.19071480286118,44.57434104973953,10.621337617677977,10.780336796029173,-2.347137484396658,13.382513265055994
18LX,simulation,15,16,8.125,-3.625,10.125,-2.375,5,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,261.61345751568894,31.5815174434955,26.518041053397834,43.13563287923878,-1.3265190368160125,15.027902551220311
18LX,simulation,15,16,8.875,-2.875,8.375,-2.125,6,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,99.55756157634718,123.93477873127108,15.987150664651569,-10.757011338270337,-0.043892965747464,14.788125821759628
18LX,simulation,15,16,6.625,-2.625,8.625,-2.375,7,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,224.34103583781183,7.046431521674435,5.326593437316304,43.092890817044704,4.254238618173907,16.19481390454692
18LX,simulation,15,16,9.875,-2.625,8.625,-1.625,8,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,177.29597335546038,141.62384304349973,21.303710314992742,-26.901582678206086,-3.4317129002232702,12.10767104290378
18LX,simulation,15,16,9.625,-4.125,8.625,-2.625,9,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,198.92728767195015,123.906873060198,31.954602976633037,-21.478166590088644,-0.5488479493664157,11.510046783201155
18LX,simulation,15,16,6.625,-2.875,8.375,-2.625,10,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,196.7532291518898,8.045470537978929,5.329814368493473,37.70644793237296,4.259119099524712,15.093654142072122
18LX,simulation,16,17,7.875,-2.125,9.625,-1.125,1,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,223.7293731258347,29.382309866150194,28.63549650387553,50.85652709579219,0.14527780549422553,4.5805615121592655
18LX,simulation,16,17,9.625,-2.375,9.375,-1.625,2,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,86.92020487609848,108.61147079302691,21.4890449451113,-7.236652364977472,1.0988523639181385,0.785641760121221
18LX,simulation,16,17,9.125,-2.125,9.625,-1.125,3,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,123.13051473094791,63.044742552599246,28.63140290696105,14.56027662690619,0.8653612378991169,2.365494150576384
18LX,simulation,16,17,9.625,-2.125,10.625,-1.125,4,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,156.2073853678143,44.46354905602254,28.543382717244693,29.08294428951098,1.1677146049167801,1.6102733200736667
18LX,simulation,16,17,10.125,-2.375,10.125,-0.875,5,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,164.37865134057776,89.86814549174454,42.881273757230325,0.09868264807592703,-0.11094674019191578,1.553208994326384
18LX,simulation,16,17,8.375,-2.125,10.125,-1.125,6,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,223.65466563136567,29.344100727524562,28.592024568413912,50.85862375555121,0.6740058328379755,3.20460129646633
18LX,simulation,16,17,8.625,-2.375,10.125,-1.625,7,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,186.19129307033822,26.198003851724366,21.443145719216542,43.5820591096168,0.5742864034901494,0.8612117754065471
18LX,simulation,16,17,8.625,-1.625,9.875,-1.625,8,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,139.149363491592,0,2.2227237730874313e-15,36.29983395432835,0.1341139765200406,3.2994294851551884
18LX,simulation,16,17,8.625,-2.625,8.875,-2.125,9,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,61.650716732997296,63.1278430204336,14.346131744727332,7.269444305384884,-0.07241841987941584,3.3585670106307317
18LX,simulation,16,17,8.375,-2.625,9.375,-1.875,10,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,138.55123510547563,36.48208390525565,21.490069889691025,29.06116322507768,-0.05349454929517662,2.407516632743504
18LX,simulation,17,18,9.625,-1.125,9.875,-1.125,1,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,27.829872698318255,0,1.0762662480212768e-15,17.576761704201004,-0.17346366239848893,13.285907450625777
18LX,simulation,17,18,9.375,-1.625,9.625,-1.875,2,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,39.08841669204658,315.41615786702073,-17.329390223969284,17.58297453466747,0.4810251328317743,7.195764975296822
18LX,simulation,17,18,9.625,-1.125,10.375,-1.125,3,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,83.48961809495512,0,3.228798744063844e-15,52.730285112603234,0.9374317426179584,12.994844231053403
18LX,simulation,17,18,10.625,-1.125,10.125,-1.125,4,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,55.65974539663686,180,-6.457597488127701e-15,-35.15352340840223,1.7665009243613796,13.660016517237613
18LX,simulation,17,18,10.125,-0.875,9.875,-1.125,5,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,39.0595468825663,224.5832256895128,-17.316402097231766,-17.570174459945402,1.611296874196906,13.632298897994195
18LX,simulation,17,18,10.125,-1.125,10.125,-1.625,6,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,54.79292676839812,270.0439493402755,-34.60604883082744,0.026544944965837924,2.541557153802169,9.99071383426064
18LX,simulation,17,18,10.125,-1.625,9.375,-1.625,7,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,83.48961809495512,180,-9.686396232191531e-15,-52.730285112603234,1.5910035456607217,9.053192709671823
18LX,simulation,17,18,9.875,-1.625,9.875,-1.125,8,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,54.83509943947212,89.957124923685,34.63268468619477,0.025916032362162972,2.3458086957429587,9.874895577681693
18LX,simulation,17,18,8.875,-2.125,8.875,-2.125,9,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,0,,0,0,0.9865568968120376,7.973341661152086
18LX,simulation,17,18,9.375,-1.875,10.125,-1.375,10,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,99.89808670489846,33.26442565318655,34.60703810169036,52.75553284247342,1.0071364095587478,7.697588063290245
18LX,simulation,18,19,9.875,-1.125,6.875,-5.375,1,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,574.939488398677,234.81775518685254,-43.71270212640185,-30.81563698907046,-7.349753587944562,-6.51332647705078
